"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"81","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 10:30:48,FALSE,NA,"806083461324804097",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NRo7CRAZY",468,TRUE,FALSE,NA,NA
"82","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 10:26:28,FALSE,NA,"806082373469151232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_elly24soul_",468,TRUE,FALSE,NA,NA
"83","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 10:21:06,FALSE,NA,"806081021972123649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nonoka_0716",468,TRUE,FALSE,NA,NA
"84","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 10:18:17,FALSE,NA,"806080312933351424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SoRa_248",468,TRUE,FALSE,NA,NA
"85","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 10:15:28,FALSE,NA,"806079602460233728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anri__JP",468,TRUE,FALSE,NA,NA
"86","#Apple's new iPhone 7 #ad features the cutest 'Romeo and Juliet' ever https://t.co/J9N65JFtNW #romeoandjuliet #camera #iphone7",FALSE,0,NA,2016-12-06 10:13:03,FALSE,NA,"806078994894438400",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Xtechnews",0,FALSE,FALSE,NA,NA
"87","#MSys brings you latest offer! Get #Cannon camera on enrollment with any of our courses or get #iphone7 with group… https://t.co/aeyYWWybGw",FALSE,0,NA,2016-12-06 10:03:34,TRUE,NA,"806076608767410176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Msys008",0,FALSE,FALSE,NA,NA
"88","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 10:02:32,FALSE,NA,"806076350524104704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shoji_love_rina",468,TRUE,FALSE,NA,NA
"89","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 10:00:02,FALSE,NA,"806075721701474305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","moe0508_ny",468,TRUE,FALSE,NA,NA
"90","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 09:53:47,FALSE,NA,"806074145855258626",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gM5fUdsbi6McM0X",468,TRUE,FALSE,NA,NA
"91","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 09:47:41,FALSE,NA,"806072612782678016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ruka_3JSB_",468,TRUE,FALSE,NA,NA
"92","RT @GulPanag: Also, #pixel front camera is way better than #iphone7 's  . For #elfie purpose",FALSE,0,NA,2016-12-06 09:42:06,FALSE,NA,"806071206134706176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rahulbajaj",14,TRUE,FALSE,NA,NA
"93","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 09:40:16,FALSE,NA,"806070745642115072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ru_yuto_ka",468,TRUE,FALSE,NA,NA
"94","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 09:37:21,FALSE,NA,"806070012398030849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maaasa_xxx",468,TRUE,FALSE,NA,NA
"95","Apple's new iPhone 7 ad features the cutest Romeo… https://t.co/uvlODXfSPO #RomeoAndJuliet #Camera #Ad #Iphone7 #Apple Add @iSocialMediaSea",FALSE,0,NA,2016-12-06 09:30:08,FALSE,NA,"806068193802350592",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","iSocialMediaSea",0,FALSE,FALSE,NA,NA
